 param_v,     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n
     283,     132,0.31250000,    1.7982,   0.25705,   0.00000,   0.13400,   0.01600,   10.6171
     283,     133,0.31250000,    1.9607,   0.30200,   0.00000,   0.20353,   0.00500,    9.8319
     283,     134,0.31250000,    1.7391,   0.26316,   0.00000,   0.26777,   0.01100,   10.0909
     283,     135,0.29687500,    1.8583,   0.33478,   0.00000,   0.20500,   0.01200,   10.4195
     294,     136,0.40625000,    1.5751,   0.27869,   0.20100,   0.19800,   0.01000,   10.1436
     294,     137,0.23437500,    2.0866,   0.26600,   0.00000,   0.22300,   0.01156,    9.7756
     294,     138,0.34375000,    2.0290,   0.25300,   0.00000,   0.12500,   0.00500,    9.9635
     294,     139,0.32812500,    1.9371,   0.31831,   0.00000,   0.18900,   0.00600,   10.6868
     294,     140,0.37500000,    1.7605,   0.37457,   0.00000,   0.23200,   0.01200,   10.4295
     304,     141,0.32812500,    1.8060,   0.31517,   0.16900,   0.20030,   0.01261,   10.4155
     304,     142,0.29687500,    2.0903,   0.24700,   0.00000,   0.23300,   0.01200,    9.5157
     304,     143,0.25000000,    1.9608,   0.34324,   0.00000,   0.12929,   0.01000,   10.0199
     304,     144,0.25000000,    2.2473,   0.21200,   0.00000,   0.15593,   0.00500,    9.7224
     304,     145,0.34375000,    1.9705,   0.21388,   0.00000,   0.36505,   0.04900,    9.7093
     316,     146,0.31250000,    2.0193,   0.26389,   0.15711,   0.24300,   0.01200,   10.4245
     316,     147,0.26562500,    1.9151,   0.24824,   0.00000,   0.21600,   0.01205,   10.4027
     316,     148,0.32812500,    1.7450,   0.30156,   0.00000,   0.21901,   0.00800,    9.4588
     316,     149,0.42187500,    1.6727,   0.29852,   0.00000,   0.13855,   0.01400,   10.7003
     316,     150,0.37500000,    1.8029,   0.28777,   0.00000,   0.21554,   0.01200,   10.2937
     327,     151,0.48437500,    1.6158,   0.31500,   0.28470,   0.15800,   0.00500,   10.9029
     327,     152,0.42187500,    1.8134,   0.29600,   0.00000,   0.20560,   0.00600,   10.7604
     327,     153,0.18750000,    1.9276,   0.23000,   0.00000,   0.23638,   0.01100,   10.8388
     327,     154,0.28125000,    2.0601,   0.29918,   0.00000,   0.20152,   0.01200,    9.3954
     327,     155,0.25000000,    1.9294,   0.21803,   0.00000,   0.17391,   0.00600,   10.7036
     339,     156,0.39062500,    1.7164,   0.25300,   0.17303,   0.19311,   0.01200,   10.6673
     339,     157,0.43750000,    1.4909,   0.30800,   0.00000,   0.18800,   0.01200,   10.8460
     339,     158,0.28125000,    2.0162,   0.25632,   0.00000,   0.14972,   0.00600,   10.0313
     339,     159,0.28125000,    2.0474,   0.18900,   0.00000,   0.13025,   0.00900,   10.1279
     339,     160,0.25000000,    2.0615,   0.24628,   0.00000,   0.15700,   0.00900,    9.6597
     350,     161,0.42187500,    1.6608,   0.27108,   0.19200,   0.11500,   0.00400,   10.3510
     350,     162,0.39062500,    1.6870,   0.29636,   0.00000,   0.16501,   0.00500,    9.3980
     350,     163,0.29687500,    1.9867,   0.27100,   0.00000,   0.19000,   0.00500,   10.2915
     350,     164,0.26562500,    1.9472,   0.30253,   0.00000,   0.22900,   0.01200,   10.4534
     350,     165,0.23437500,    1.9223,   0.25015,   0.00000,   0.22947,   0.01204,   10.7927
     361,     166,0.35937500,    1.6945,   0.20816,   0.15773,   0.14787,   0.00700,   10.1474
     361,     167,0.35937500,    1.6939,   0.31287,   0.00000,   0.22356,   0.01202,   10.5713
     361,     168,0.39062500,    1.6906,   0.21604,   0.00000,   0.20760,   0.01100,   11.4444
     361,     169,0.29687500,    1.8391,   0.23006,   0.00000,   0.20550,   0.01306,   10.3377
     361,     170,0.53125000,    1.4962,   0.29439,   0.00000,   0.18613,   0.01100,   10.2304
     372,     171,0.34375000,    1.7522,   0.20963,   0.17927,   0.13581,   0.00600,   10.1277
     372,     172,0.32812500,    1.7445,   0.48785,   0.00000,   0.15255,   0.00700,   10.0543
     372,     173,0.31250000,    1.8331,   0.31971,   0.00000,   0.12127,   0.00400,   10.2063
     372,     174,0.34375000,    1.8420,   0.24016,   0.00000,   0.14724,   0.04429,   10.1708
     372,     175,0.28125000,    1.9445,   0.23760,   0.00000,   0.21128,   0.01500,   11.4157
     384,     176,0.37500000,    1.7946,   0.27325,   0.15983,   0.15795,   0.00600,   10.0187
     384,     177,0.32812500,    1.8459,   0.21837,   0.00000,   0.13174,   0.01255,   10.0337
     384,     178,0.35937500,    1.6844,   0.20430,   0.00000,   0.13656,   0.00604,   10.1435
     384,     179,0.29687500,    1.8453,   0.35666,   0.00000,   0.13641,   0.00500,   10.1324
     384,     180,0.31250000,    1.7593,   0.26206,   0.00000,   0.20648,   0.01053,    9.3899
     395,     181,0.25000000,    1.8615,   0.28200,   0.17788,   0.19999,   0.00600,   10.4544
     395,     182,0.40625000,    1.7029,   0.28500,   0.00000,   0.15800,   0.00400,    9.8731
     395,     183,0.34375000,    1.6838,   0.18600,   0.00000,   0.14062,   0.00600,   10.4422
     395,     184,0.28125000,    1.7096,   0.42500,   0.00000,   0.14200,   0.00500,   10.5371
     395,     185,0.34375000,    1.7986,   0.25500,   0.00000,   0.20714,   0.01200,   10.9969
     406,     186,0.35937500,    1.7558,   0.25000,   0.12800,   0.20300,   0.00900,   10.1295
     406,     187,0.42187500,    1.6103,   0.23200,   0.00000,   0.16524,   0.00400,   10.1370
     406,     188,0.37500000,    1.7466,   0.32200,   0.00000,   0.17700,   0.00500,   10.4687
     406,     189,0.40625000,    1.7741,   0.34200,   0.00000,   0.24200,   0.01200,   11.9299
     406,     190,0.35937500,    1.6315,   0.23300,   0.00000,   0.21133,   0.01200,    9.6440
     417,     191,0.42187500,    1.7665,   0.29900,   0.20500,   0.19900,   0.01300,    9.3792
     417,     192,0.25000000,    1.8018,   0.22932,   0.00000,   0.23100,   0.01100,    9.5777
     417,     193,0.37500000,    1.6467,   0.22301,   0.00000,   0.16000,   0.00700,    9.4995
     417,     194,0.35937500,    1.6674,   0.32908,   0.00000,   0.19500,   0.00400,   10.2124
     417,     195,0.31250000,    1.8187,   0.23412,   0.00000,   0.23707,   0.01107,    9.8268
     428,     196,0.28125000,    1.9364,   0.27656,   0.15776,   0.22500,   0.01700,   10.2982
     428,     197,0.40625000,    1.6925,   0.27400,   0.00000,   0.11700,   0.00400,    9.7038
     428,     198,0.34375000,    1.7877,   0.19600,   0.00000,   0.13600,   0.00600,    9.9476
     428,     199,0.45312500,    1.4339,   0.26713,   0.00000,   0.12513,   0.00500,   11.0471
     428,     200,0.35937500,    1.6719,   0.29207,   0.00000,   0.22886,   0.01102,   10.3465
     438,     201,0.35937500,    1.8164,   0.27363,   0.13406,   0.27288,   0.01300,    9.4528
     438,     202,0.21875000,    1.9818,   0.26030,   0.00000,   0.23400,   0.01200,    9.6562
     438,     203,0.35937500,    1.6981,   0.30501,   0.00000,   0.22800,   0.01200,    9.8981
     438,     204,0.28125000,    1.9740,   0.24467,   0.00000,   0.19900,   0.01300,    9.7496
     438,     205,0.40625000,    1.6305,   0.24800,   0.00000,   0.17000,   0.00500,    9.5847
     450,     206,0.37500000,    1.8215,   0.30705,   0.18000,   0.11100,   0.01200,    9.6441
     450,     207,0.39062500,    1.6133,   0.23662,   0.00000,   0.22866,   0.01100,    9.5130
     450,     208,0.25000000,    1.8334,   0.26860,   0.00000,   0.21441,   0.01100,    9.9962
     450,     209,0.37500000,    1.8034,   0.25136,   0.00000,   0.13204,   0.00494,    9.2120
     450,     210,0.32812500,    1.8652,   0.27100,   0.00000,   0.12600,   0.00500,   10.8457
     462,     211,0.32812500,    1.9834,   0.24713,   0.19489,   0.18890,   0.00500,   10.5928
     462,     212,0.40625000,    1.6939,   0.26808,   0.00000,   0.24000,   0.01100,    9.9974
     462,     213,0.46875000,    1.5653,   0.22800,   0.00000,   0.21483,   0.01200,   11.8452
     462,     214,0.26562500,    1.8396,   0.27800,   0.00000,   0.21166,   0.01200,    9.3652
     462,     215,0.34375000,    1.8942,   0.23800,   0.00000,   0.10366,   0.00500,    9.8543
     473,     216,0.28125000,    1.9605,   0.25401,   0.17900,   0.14200,   0.00700,   11.5543
     473,     217,0.28125000,    1.8519,   0.27800,   0.00000,   0.17057,   0.00500,   10.0541
     473,     218,0.39062500,    1.6071,   0.29200,   0.00000,   0.19600,   0.01300,    9.4910
     473,     219,0.37500000,    1.5700,   0.22400,   0.00000,   0.19557,   0.01300,    9.2733
     473,     220,0.32812500,    1.9063,   0.23972,   0.00000,   0.23168,   0.01400,   10.0879
     483,     221,0.43750000,    1.6164,   0.25020,   0.13867,   0.20422,   0.01186,   10.6150
     483,     222,0.39062500,    1.7725,   0.22732,   0.00000,   0.15204,   0.00500,   10.3002
     483,     223,0.35937500,    1.7688,   0.26214,   0.00000,   0.17599,   0.00500,   10.0950
     483,     224,0.39062500,    1.6234,   0.25700,   0.00000,   0.24600,   0.01200,    9.6729
     483,     225,0.31250000,    1.7402,   0.26230,   0.00000,   0.22700,   0.01200,   10.3239
     494,     226,0.28125000,    1.7845,   0.26400,   0.21900,   0.17960,   0.00600,    9.6732
     494,     227,0.42187500,    1.7398,   0.29900,   0.00000,   0.24866,   0.00900,   10.0871
     494,     228,0.28125000,    1.9399,   0.23200,   0.00000,   0.15900,   0.00400,   10.2036
     494,     229,0.31250000,    1.6923,   0.33283,   0.00000,   0.16960,   0.00501,    9.4263
     494,     230,0.37500000,    1.7314,   0.24700,   0.00000,   0.19400,   0.00500,    9.9530
     505,     231,0.46875000,    1.5034,   0.28000,   0.17000,   0.17358,   0.00500,   10.1094
     505,     232,0.35937500,    1.8662,   0.20703,   0.00000,   0.18627,   0.01500,    9.7101
     505,     233,0.40625000,    1.8323,   0.23420,   0.00000,   0.17103,   0.01400,   11.4002
     505,     234,0.40625000,    1.6986,   0.23999,   0.00000,   0.14100,   0.00901,    9.7321
     505,     235,0.42187500,    1.5705,   0.30034,   0.00000,   0.19400,   0.00500,    9.7891
