     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n,        cr
     158,0.32812500,    1.6638,   0.10703,   0.07708,   0.12010,   0.04801,    4.4127,0.50000000
     159,0.37500000,    1.7192,   0.06200,   0.08200,   0.10300,   0.00500,    4.6128,0.50000000
     160,0.32812500,    1.8211,   0.08600,   0.09400,   0.10100,   0.00500,    4.7982,0.50000000
     161,0.26562500,    1.9550,   0.11000,   0.13601,   0.12201,   0.00400,    4.8131,0.50000000
     162,0.34375000,    1.6939,   0.10700,   0.12601,   0.11900,   0.00400,    4.6479,0.50000000
     163,0.35937500,    1.8678,   0.10200,   0.12400,   0.11700,   0.00400,    4.8424,0.50000000
     164,0.34375000,    1.7669,   0.10968,   0.13500,   0.10900,   0.00800,    4.4807,0.50000000
     165,0.40625000,    1.6355,   0.12300,   0.08500,   0.13200,   0.00700,    4.3453,0.50000000
     166,0.42187500,    1.7730,   0.13200,   0.07600,   0.13200,   0.00700,    4.4123,0.50000000
     167,0.40625000,    1.7700,   0.05766,   0.08100,   0.10656,   0.00400,    4.5314,0.50000000
     168,0.34375000,    1.7252,   0.07500,   0.10200,   0.09900,   0.01100,    4.5941,0.50000000
     169,0.43750000,    1.4952,   0.11200,   0.13700,   0.11300,   0.00600,    4.6168,0.50000000
     170,0.46875000,    1.4174,   0.13202,   0.08500,   0.12300,   0.00700,    4.1246,0.50000000
     171,0.34375000,    1.6675,   0.05900,   0.07800,   0.11000,   0.00500,    4.4897,0.50000000
     172,0.32812500,    1.7662,   0.08500,   0.09700,   0.09400,   0.00400,    4.2923,0.50000000
     173,0.39062500,    1.7818,   0.09476,   0.12900,   0.11000,   0.00400,    4.4383,0.50000000
     174,0.32812500,    1.8546,   0.07700,   0.13300,   0.10400,   0.00500,    4.5946,0.50000000
     175,0.29687500,    1.8012,   0.12303,   0.13600,   0.12500,   0.00800,    4.4825,0.50000000
     176,0.39062500,    1.8139,   0.13302,   0.08200,   0.12800,   0.00756,    4.3856,0.50000000
     177,0.32812500,    1.8470,   0.05800,   0.07700,   0.11000,   0.00500,    4.8368,0.50000000
     178,0.54687500,    1.3957,   0.08100,   0.09600,   0.09800,   0.00500,    4.0985,0.50000000
     179,0.43750000,    1.5456,   0.09365,   0.12700,   0.10800,   0.00400,    4.3775,0.50000000
     180,0.40625000,    1.4890,   0.09800,   0.14600,   0.11400,   0.00800,    4.1549,0.50000000
     181,0.42187500,    1.7675,   0.09800,   0.08100,   0.11000,   0.00400,    4.2505,0.50000000
     182,0.37500000,    1.6536,   0.09967,   0.08400,   0.11300,   0.00700,    4.5448,0.50000000
     183,0.32812500,    1.7852,   0.11900,   0.09400,   0.12000,   0.00800,    4.5832,0.50000000
     184,0.35937500,    1.7849,   0.10300,   0.07600,   0.11100,   0.00900,    4.5566,0.50000000
     185,0.34375000,    1.6613,   0.11007,   0.08400,   0.13600,   0.04800,    4.4472,0.50000000
